city,level,population,households,school,college,hospital,doctors,clinic,dentist,restaurant,fast_food,supermarket,convenience,park,platform,station
相良村,7,4095,1580,3,0,0,0,0,0,0,0,0,0,0,1,1
五木村,7,974,472,7,0,0,0,0,0,1,0,0,0,0,0,0
山江村,7,3276,1200,3,0,0,0,0,0,0,0,0,0,0,0,0
球磨村,7,2958,1281,6,0,0,0,0,0,0,0,0,0,0,6,4
あさぎり町,7,14554,5884,12,0,1,0,0,0,1,1,1,0,6,0,3
苓北町,7,6571,3062,10,0,4,0,0,0,0,0,3,1,3,0,0
大分市,7,476556,229105,143,7,77,37,9,23,261,43,37,110,195,146,18
別府市,7,113735,62470,45,1,27,2,1,2,123,9,13,29,68,48,6
中津市,7,83101,41142,70,7,10,4,1,2,32,14,8,17,18,5,3
日田市,7,62080,27524,71,0,22,1,9,6,60,9,9,24,66,7,9
佐伯市,7,67126,33053,68,0,9,3,3,3,44,7,21,23,49,303,9
臼杵市,7,36137,16879,26,0,2,9,3,5,25,3,8,15,15,11,5
津久見市,7,15868,7765,21,0,1,0,0,0,0,0,2,4,9,1,2
竹田市,7,19890,9937,27,0,4,0,0,0,4,0,0,1,4,0,3
豊後高田市,7,22177,10934,19,0,3,0,0,0,3,0,3,4,15,0,0
杵築市,7,27295,13283,26,0,14,0,0,0,8,1,8,6,13,15,3
宇佐市,7,53395,25998,46,0,13,2,3,0,18,3,5,8,14,12,6
豊後大野市,7,33415,15760,27,0,4,0,3,1,13,2,4,6,7,9,6
由布市,7,33531,15686,24,0,5,0,0,1,40,0,5,3,7,8,9
国東市,7,26179,13088,32,0,2,3,0,2,3,0,2,8,7,0,0
姫島村,7,1812,874,2,0,0,0,0,0,0,0,0,0,6,0,0
日出町,7,28115,12697,10,0,3,0,0,0,2,1,6,10,14,8,4
九重町,7,8729,3884,11,0,0,0,1,0,8,3,1,1,0,0,4
玖珠町,7,14384,6606,26,0,3,0,0,0,0,0,4,9,5,0,4
宮崎市,7,399576,201306,110,3,39,9,8,13,109,38,32,151,465,127,21
都城市,7,161605,80352,92,0,30,0,0,0,31,18,26,70,107,19,11
延岡市,7,117563,59796,104,1,24,3,0,1,35,16,23,42,50,8,8
日南市,7,49989,26142,36,0,9,0,1,2,17,4,3,17,82,47,10
小林市,7,43554,22195,35,0,12,1,0,0,0,0,0,3,8,1,2
日向市,7,59390,29161,29,0,12,0,1,0,30,1,17,22,9,7,4
串間市,7,16990,8765,24,0,4,0,0,0,2,0,5,6,39,0,5
西都市,7,28867,13971,16,1,5,3,0,1,10,0,9,12,23,11,0
えびの市,7,18050,9513,22,0,5,0,0,0,2,1,3,7,6,3,5
三股町,7,25992,11559,8,0,2,2,0,0,9,2,6,6,27,4,2
高原町,7,8838,4408,8,0,1,0,0,0,0,0,0,0,3,0,2
国富町,7,18695,8985,10,0,2,0,0,0,2,0,2,5,6,0,0
綾町,7,7043,3254,2,0,0,0,0,0,0,0,1,2,1,0,0
高鍋町,7,19729,9611,6,0,3,0,1,0,4,1,1,6,0,2,1
新富町,7,16888,7972,7,0,2,1,5,4,16,3,7,6,20,5,1
西米良村,7,1073,544,2,0,1,0,0,0,1,0,0,0,0,1,0
木城町,7,4908,2233,5,0,0,0,0,0,0,0,0,0,0,0,0
川南町,7,15095,7060,7,0,2,0,0,1,4,0,0,4,0,5,1
都農町,7,10262,4778,6,0,1,0,0,0,0,0,0,0,0,3,2
門川町,7,17385,8184,8,0,3,0,0,0,0,1,2,3,3,2,1
諸塚村,7,1499,679,4,0,1,0,0,0,0,0,0,0,0,0,0
椎葉村,7,2586,1188,11,0,1,0,0,1,4,0,1,0,2,0,0
高千穂町,7,11327,4927,16,0,5,0,0,0,28,0,8,5,1,1,1
日之影町,7,3592,1613,6,0,1,0,0,0,2,0,0,0,1,16,0
五ヶ瀬町,7,3503,1513,8,0,2,0,0,0,2,0,1,0,2,0,0
鹿児島市,7,597834,302529,218,15,137,10,254,71,270,152,121,290,698,1198,19
鹿屋市,7,100767,51239,67,0,20,0,1,6,40,22,15,42,57,6,0
枕崎市,7,19715,10471,13,0,11,0,0,0,3,1,6,7,46,37,3
阿久根市,7,18914,9831,16,0,2,12,0,4,2,5,6,8,19,2,4
出水市,7,52191,25671,45,0,8,0,0,0,2,0,2,3,30,8,5
指宿市,7,38487,19826,22,0,13,0,7,2,28,6,5,16,27,80,11
西之表市,7,14417,7800,20,0,3,0,0,0,1,0,1,0,0,0,0
垂水市,7,13624,7296,20,0,3,0,0,0,5,1,0,8,5,0,0
薩摩川内市,7,92248,46292,81,1,13,5,2,1,12,1,13,30,64,12,7
日置市,7,46992,22637,39,2,12,0,13,0,20,5,11,20,65,156,3
曽於市,7,33600,17437,34,0,8,0,0,0,3,0,1,7,14,5,3
霧島市,7,124751,62557,91,1,20,6,3,0,37,14,13,64,67,9,11
いちき串木野市,7,26468,13098,34,1,7,0,0,0,3,4,5,9,34,11,3
南さつま市,7,32279,16913,24,1,9,1,16,0,18,6,12,12,71,128,0
志布志市,7,29808,15306,46,0,6,0,0,1,3,1,3,13,15,1,2
奄美市,7,41670,23605,38,0,7,11,0,5,86,2,25,8,67,199,0
南九州市,7,32745,16351,41,0,7,0,4,0,19,0,11,13,54,133,8
伊佐市,7,23967,12845,28,0,6,0,0,1,6,1,5,6,29,0,0
姶良市,7,78077,37968,47,0,17,1,2,0,22,9,15,35,183,28,7
三島村,7,369,202,10,0,0,1,0,0,0,0,0,0,1,0,0
十島村,7,657,377,20,0,0,0,0,0,0,0,0,0,1,0,0
さつま町,7,19534,10034,25,0,6,1,0,0,1,0,2,5,5,0,0
長島町,7,9809,4397,19,0,0,4,0,0,8,0,4,2,13,5,0
湧水町,7,8700,4660,10,0,1,0,0,0,1,0,2,3,10,5,3
大崎町,7,12398,6685,11,0,0,0,0,0,2,0,0,5,5,0,0
東串良町,7,6510,3290,5,0,0,0,0,0,1,0,1,2,1,0,0
錦江町,7,6640,3596,13,0,1,0,0,1,2,0,3,2,5,0,0
南大隅町,7,6364,3645,15,0,0,0,0,0,0,0,1,3,1,0,0
肝付町,7,14241,7652,17,0,2,2,1,2,9,3,4,9,5,2,0
中種子町,7,7489,4142,13,0,0,1,0,0,0,1,6,0,1,0,0
南種子町,7,5363,2918,13,0,0,0,0,0,1,0,1,3,2,0,0
屋久島町,7,11724,6481,21,0,1,2,0,0,23,2,7,4,4,65,0
大和村,7,1414,850,11,0,0,1,0,0,0,0,0,0,2,15,0
宇検村,7,1653,948,8,0,0,0,0,0,1,0,1,0,1,0,0
瀬戸内町,7,8442,5170,37,0,2,0,0,0,2,0,1,1,7,25,0
龍郷町,7,6017,3151,13,0,0,1,0,0,17,0,3,5,6,9,0
喜界町,7,6565,3697,13,0,1,1,0,0,0,0,3,0,20,0,0
徳之島町,7,10290,5736,17,0,3,0,0,0,5,0,5,2,0,0,0
天城町,7,5597,3053,11,0,0,0,0,0,0,0,0,1,0,0,0
伊仙町,7,6361,3470,12,0,0,0,0,0,0,0,0,0,0,0,0
和泊町,7,6296,3282,7,0,0,0,0,0,0,0,1,0,1,0,0
知名町,7,5634,3012,8,0,1,0,0,0,1,0,1,1,0,0,0
与論町,7,5078,2620,5,0,1,0,0,0,0,0,1,0,1,18,0
那覇市,7,317030,158212,103,3,21,52,16,23,325,102,71,183,209,459,16
宜野湾市,7,100269,46828,35,0,10,4,2,3,43,21,23,29,44,20,0
石垣市,7,49530,25545,37,0,3,2,1,16,82,12,21,19,21,10,0
浦添市,7,115702,52950,45,1,7,3,7,3,40,23,26,56,66,107,3
名護市,7,64290,31733,34,3,7,2,1,0,44,21,17,36,13,38,0
糸満市,7,62569,28078,19,0,6,1,1,2,21,15,16,19,42,38,0
沖縄市,7,142679,65902,42,0,18,1,2,1,55,41,32,69,103,7,0
豊見城市,7,65954,28033,19,1,4,4,2,6,21,13,12,22,32,95,0
うるま市,7,125973,56140,40,1,6,4,0,2,33,29,22,50,117,22,0
宮古島市,7,55562,29395,42,1,6,2,0,0,29,5,11,12,12,3,0
南城市,7,45928,19471,15,0,1,1,1,0,24,5,12,18,15,118,0
国頭村,7,4504,2329,9,1,0,2,0,0,7,1,2,5,5,33,0
大宜味村,7,3044,1709,7,0,0,1,0,0,4,1,0,2,1,32,0
東村,7,1752,946,5,0,0,0,0,0,4,0,0,1,3,0,0
今帰仁村,7,9364,4526,8,0,1,3,0,0,46,3,4,3,4,56,0
本部町,7,13002,6533,14,0,1,0,0,0,44,2,4,9,3,29,0
恩納村,7,11298,5829,11,1,0,1,1,0,61,3,1,11,9,42,0
宜野座村,7,6303,2738,7,0,2,0,0,0,6,0,0,2,3,1,0
金武町,7,11451,5625,4,0,0,0,1,1,5,3,2,7,15,10,0
伊江村,7,4366,2268,3,0,0,1,0,0,7,0,3,4,7,1,0
読谷村,7,42041,17577,8,0,2,2,1,0,37,4,13,10,20,17,0
嘉手納町,7,13154,5626,4,0,1,0,1,0,6,4,5,6,7,6,0
北谷町,7,29056,12804,8,0,4,0,0,3,105,30,8,28,27,16,0
北中城村,7,17936,7725,10,0,4,0,0,0,16,10,2,9,20,6,0
中城村,7,22409,9517,5,0,0,0,1,0,7,2,4,9,13,6,0
西原町,7,35728,15577,14,1,1,1,4,2,11,10,6,12,21,51,0
与那原町,7,20003,8786,4,1,1,0,1,1,3,8,9,8,9,19,0
南風原町,7,40642,16444,13,0,6,2,0,4,16,13,10,20,23,26,0
渡嘉敷村,7,695,407,3,0,0,0,0,0,6,1,1,1,1,0,0
座間味村,7,895,539,8,0,0,0,0,0,12,1,6,0,1,0,0
粟国村,7,666,404,3,0,0,1,0,0,0,0,0,0,0,0,0
渡名喜村,7,317,209,2,0,0,1,0,0,0,0,0,0,0,0,0
南大東村,7,1210,680,3,0,0,0,0,0,2,0,0,0,2,0,0
北大東村,7,542,291,3,0,0,0,0,0,1,0,4,0,2,0,0
伊平屋村,7,1213,618,3,0,0,1,0,0,0,0,0,1,0,0,0
伊是名村,7,1308,735,2,0,0,1,0,0,0,0,1,0,2,0,0
久米島町,7,7413,3951,12,0,3,0,0,0,15,1,9,5,17,10,0
八重瀬町,7,32630,13053,10,0,2,3,0,2,7,5,5,14,16,26,0
多良間村,7,1085,529,2,0,0,0,0,0,0,0,0,1,1,0,0
竹富町,7,4288,2545,26,0,1,3,0,1,25,0,8,1,2,26,0
与那国町,7,1725,983,5,0,1,0,0,0,5,0,1,4,0,1,0
